Date,year,month,day,cfs
1/1/1993,1993,1,1,1220
1/2/1993,1993,1,2,1160
1/3/1993,1993,1,3,1260
1/4/1993,1993,1,4,1170
1/5/1993,1993,1,5,1090
1/6/1993,1993,1,6,1180
1/7/1993,1993,1,7,1230
1/8/1993,1993,1,8,1130
1/9/1993,1993,1,9,1220
1/10/1993,1993,1,10,1540
1/11/1993,1993,1,11,1360
1/12/1993,1993,1,12,1120
1/13/1993,1993,1,13,1080
1/14/1993,1993,1,14,1030
1/15/1993,1993,1,15,1020
1/16/1993,1993,1,16,1040
1/17/1993,1993,1,17,1030
1/18/1993,1993,1,18,1010
1/19/1993,1993,1,19,1050
1/20/1993,1993,1,20,1290
1/21/1993,1993,1,21,1210
1/22/1993,1993,1,22,1160
1/23/1993,1993,1,23,1150
1/24/1993,1993,1,24,1070
1/25/1993,1993,1,25,1040
1/26/1993,1993,1,26,1050
1/27/1993,1993,1,27,1100
1/28/1993,1993,1,28,1060
1/29/1993,1993,1,29,1020
1/30/1993,1993,1,30,1070
1/31/1993,1993,1,31,1120
2/1/1993,1993,2,1,1160
2/2/1993,1993,2,2,1120
2/3/1993,1993,2,3,1050
2/4/1993,1993,2,4,1020
2/5/1993,1993,2,5,977
2/6/1993,1993,2,6,1040
2/7/1993,1993,2,7,1070
2/8/1993,1993,2,8,1090
2/9/1993,1993,2,9,1120
2/10/1993,1993,2,10,1080
2/11/1993,1993,2,11,1040
2/12/1993,1993,2,12,1040
2/13/1993,1993,2,13,1180
2/14/1993,1993,2,14,1180
2/15/1993,1993,2,15,1190
2/16/1993,1993,2,16,1290
2/17/1993,1993,2,17,1140
2/18/1993,1993,2,18,1220
2/19/1993,1993,2,19,1190
2/20/1993,1993,2,20,1220
2/21/1993,1993,2,21,788
2/22/1993,1993,2,22,584
2/23/1993,1993,2,23,572
2/24/1993,1993,2,24,670
2/25/1993,1993,2,25,1190
2/26/1993,1993,2,26,1470
2/27/1993,1993,2,27,1730
2/28/1993,1993,2,28,1940
3/1/1993,1993,3,1,2120
3/2/1993,1993,3,2,2320
3/3/1993,1993,3,3,1840
3/4/1993,1993,3,4,1410
3/5/1993,1993,3,5,1630
3/6/1993,1993,3,6,1430
3/7/1993,1993,3,7,1040
3/8/1993,1993,3,8,1070
3/9/1993,1993,3,9,1000
3/10/1993,1993,3,10,963
3/11/1993,1993,3,11,1100
3/12/1993,1993,3,12,1340
3/13/1993,1993,3,13,1270
3/14/1993,1993,3,14,1280
3/15/1993,1993,3,15,1460
3/16/1993,1993,3,16,1370
3/17/1993,1993,3,17,1260
3/18/1993,1993,3,18,1120
3/19/1993,1993,3,19,1100
3/20/1993,1993,3,20,1100
3/21/1993,1993,3,21,1180
3/22/1993,1993,3,22,1420
3/23/1993,1993,3,23,1410
3/24/1993,1993,3,24,1400
3/25/1993,1993,3,25,1560
3/26/1993,1993,3,26,1950
3/27/1993,1993,3,27,1790
3/28/1993,1993,3,28,2450
3/29/1993,1993,3,29,2750
3/30/1993,1993,3,30,3200
3/31/1993,1993,3,31,3090
4/1/1993,1993,4,1,2690
4/2/1993,1993,4,2,2400
4/3/1993,1993,4,3,2020
4/4/1993,1993,4,4,1710
4/5/1993,1993,4,5,1910
4/6/1993,1993,4,6,2360
4/7/1993,1993,4,7,2620
4/8/1993,1993,4,8,2700
4/9/1993,1993,4,9,2640
4/10/1993,1993,4,10,2570
4/11/1993,1993,4,11,2360
4/12/1993,1993,4,12,2530
4/13/1993,1993,4,13,2750
4/14/1993,1993,4,14,3370
4/15/1993,1993,4,15,3580
4/16/1993,1993,4,16,3630
4/17/1993,1993,4,17,3570
4/18/1993,1993,4,18,3330
4/19/1993,1993,4,19,3440
4/20/1993,1993,4,20,3250
4/21/1993,1993,4,21,3160
4/22/1993,1993,4,22,3030
4/23/1993,1993,4,23,3060
4/24/1993,1993,4,24,3060
4/25/1993,1993,4,25,3290
4/26/1993,1993,4,26,3780
4/27/1993,1993,4,27,3720
4/28/1993,1993,4,28,3720
4/29/1993,1993,4,29,3640
4/30/1993,1993,4,30,3970
5/1/1993,1993,5,1,4220
5/2/1993,1993,5,2,4390
5/3/1993,1993,5,3,4440
5/4/1993,1993,5,4,4390
5/5/1993,1993,5,5,4600
5/6/1993,1993,5,6,4540
5/7/1993,1993,5,7,3330
5/8/1993,1993,5,8,3420
5/9/1993,1993,5,9,3790
5/10/1993,1993,5,10,3850
5/11/1993,1993,5,11,3710
5/12/1993,1993,5,12,3310
5/13/1993,1993,5,13,2610
5/14/1993,1993,5,14,2320
5/15/1993,1993,5,15,2630
5/16/1993,1993,5,16,3290
5/17/1993,1993,5,17,3890
5/18/1993,1993,5,18,4230
5/19/1993,1993,5,19,4540
5/20/1993,1993,5,20,4860
5/21/1993,1993,5,21,5020
5/22/1993,1993,5,22,4960
5/23/1993,1993,5,23,5030
5/24/1993,1993,5,24,5030
5/25/1993,1993,5,25,5010
5/26/1993,1993,5,26,5200
5/27/1993,1993,5,27,5340
5/28/1993,1993,5,28,5240
5/29/1993,1993,5,29,5320
5/30/1993,1993,5,30,5520
5/31/1993,1993,5,31,5730
6/1/1993,1993,6,1,5860
6/2/1993,1993,6,2,5500
6/3/1993,1993,6,3,5770
6/4/1993,1993,6,4,5880
6/5/1993,1993,6,5,6070
6/6/1993,1993,6,6,6190
6/7/1993,1993,6,7,6350
6/8/1993,1993,6,8,5810
6/9/1993,1993,6,9,5860
6/10/1993,1993,6,10,5860
6/11/1993,1993,6,11,5790
6/12/1993,1993,6,12,5510
6/13/1993,1993,6,13,4760
6/14/1993,1993,6,14,4220
6/15/1993,1993,6,15,3820
6/16/1993,1993,6,16,3590
6/17/1993,1993,6,17,3600
6/18/1993,1993,6,18,4030
6/19/1993,1993,6,19,4310
6/20/1993,1993,6,20,4310
6/21/1993,1993,6,21,4350
6/22/1993,1993,6,22,4590
6/23/1993,1993,6,23,4400
6/24/1993,1993,6,24,3350
6/25/1993,1993,6,25,3110
6/26/1993,1993,6,26,3090
6/27/1993,1993,6,27,3000
6/28/1993,1993,6,28,2890
6/29/1993,1993,6,29,2640
6/30/1993,1993,6,30,2530
7/1/1993,1993,7,1,2430
7/2/1993,1993,7,2,2450
7/3/1993,1993,7,3,2300
7/4/1993,1993,7,4,2170
7/5/1993,1993,7,5,2220
7/6/1993,1993,7,6,2050
7/7/1993,1993,7,7,1890
7/8/1993,1993,7,8,1810
7/9/1993,1993,7,9,1640
7/10/1993,1993,7,10,1510
7/11/1993,1993,7,11,1110
7/12/1993,1993,7,12,605
7/13/1993,1993,7,13,465
7/14/1993,1993,7,14,648
7/15/1993,1993,7,15,514
7/16/1993,1993,7,16,482
7/17/1993,1993,7,17,656
7/18/1993,1993,7,18,511
7/19/1993,1993,7,19,449
7/20/1993,1993,7,20,280
7/21/1993,1993,7,21,361
7/22/1993,1993,7,22,1470
7/23/1993,1993,7,23,569
7/24/1993,1993,7,24,566
7/25/1993,1993,7,25,461
7/26/1993,1993,7,26,324
7/27/1993,1993,7,27,129
7/28/1993,1993,7,28,99
7/29/1993,1993,7,29,95
7/30/1993,1993,7,30,65
7/31/1993,1993,7,31,125
8/1/1993,1993,8,1,185
8/2/1993,1993,8,2,402
8/3/1993,1993,8,3,522
8/4/1993,1993,8,4,699
8/5/1993,1993,8,5,473
8/6/1993,1993,8,6,383
8/7/1993,1993,8,7,403
8/8/1993,1993,8,8,416
8/9/1993,1993,8,9,471
8/10/1993,1993,8,10,361
8/11/1993,1993,8,11,370
8/12/1993,1993,8,12,322
8/13/1993,1993,8,13,307
8/14/1993,1993,8,14,347
8/15/1993,1993,8,15,690
8/16/1993,1993,8,16,765
8/17/1993,1993,8,17,660
8/18/1993,1993,8,18,700
8/19/1993,1993,8,19,1150
8/20/1993,1993,8,20,3060
8/21/1993,1993,8,21,2920
8/22/1993,1993,8,22,1170
8/23/1993,1993,8,23,1240
8/24/1993,1993,8,24,1470
8/25/1993,1993,8,25,1100
8/26/1993,1993,8,26,1360
8/27/1993,1993,8,27,3700
8/28/1993,1993,8,28,2900
8/29/1993,1993,8,29,2110
8/30/1993,1993,8,30,2110
8/31/1993,1993,8,31,2660
9/1/1993,1993,9,1,2780
9/2/1993,1993,9,2,2820
9/3/1993,1993,9,3,2730
9/4/1993,1993,9,4,2840
9/5/1993,1993,9,5,2710
9/6/1993,1993,9,6,2450
9/7/1993,1993,9,7,1850
9/8/1993,1993,9,8,1500
9/9/1993,1993,9,9,1400
9/10/1993,1993,9,10,1070
9/11/1993,1993,9,11,1000
9/12/1993,1993,9,12,619
9/13/1993,1993,9,13,562
9/14/1993,1993,9,14,565
9/15/1993,1993,9,15,622
9/16/1993,1993,9,16,657
9/17/1993,1993,9,17,705
9/18/1993,1993,9,18,700
9/19/1993,1993,9,19,535
9/20/1993,1993,9,20,340
9/21/1993,1993,9,21,461
9/22/1993,1993,9,22,490
9/23/1993,1993,9,23,329
9/24/1993,1993,9,24,348
9/25/1993,1993,9,25,405
9/26/1993,1993,9,26,296
9/27/1993,1993,9,27,360
9/28/1993,1993,9,28,284
9/29/1993,1993,9,29,265
9/30/1993,1993,9,30,276
10/1/1993,1993,10,1,225
10/2/1993,1993,10,2,179
10/3/1993,1993,10,3,140
10/4/1993,1993,10,4,127
10/5/1993,1993,10,5,136
10/6/1993,1993,10,6,150
10/7/1993,1993,10,7,155
10/8/1993,1993,10,8,170
10/9/1993,1993,10,9,220
10/10/1993,1993,10,10,270
10/11/1993,1993,10,11,280
10/12/1993,1993,10,12,310
10/13/1993,1993,10,13,340
10/14/1993,1993,10,14,350
10/15/1993,1993,10,15,350
10/16/1993,1993,10,16,340
10/17/1993,1993,10,17,290
10/18/1993,1993,10,18,270
10/19/1993,1993,10,19,464
10/20/1993,1993,10,20,454
10/21/1993,1993,10,21,444
10/22/1993,1993,10,22,401
