mont,day,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,1,459,421,573,1180,587,697,1520,846,661,558,522,335,605,500,819,763,510,592
3,2,539,414,548,1360,573,722,1970,784,600,665,518,294,639,483,854,687,527,592
3,3,571,404,567,1070,587,764,1980,883,541,591,566,327,670,648,819,665,526,593
3,4,585,362,789,842,597,774,2040,968,515,613,558,286,657,702,860,694,538,610
3,5,571,323,705,769,621,766,2600,1030,547,615,531,274,634,669,1050,730,489,699
3,6,580,299,604,957,598,706,2110,1090,590,629,426,286,737,655,1100,707,398,844
3,7,511,319,593,823,546,660,1740,975,601,674,478,262,805,648,1070,688,374,916
3,8,485,360,585,721,473,655,1400,940,700,669,486,297,784,667,1020,685,393,1020
3,9,518,378,572,689,490,660,984,1000,654,635,477,301,791,643,901,769,416,1170
3,10,550,384,535,677,481,704,971,1060,674,618,509,344,778,576,895,806,423,1160
3,11,546,347,548,626,436,742,1170,1090,693,575,528,326,621,553,1090,814,403,1090
3,12,474,330,541,614,423,723,1550,902,696,558,526,351,575,555,1100,822,396,1170
3,13,406,343,577,632,443,787,1620,871,699,630,585,354,621,577,1120,802,392,1350
3,14,404,368,593,788,412,897,1810,927,697,642,636,353,637,585,1110,971,386,1470
3,15,521,416,595,1120,391,1070,2070,893,698,618,656,358,722,614,978,973,364,1330
3,16,578,416,815,1140,424,1170,2160,822,741,588,761,361,641,605,946,1260,384,1370
3,17,603,432,1030,971,421,1440,2170,863,753,503,810,401,629,820,912,1500,404,1380
3,18,584,407,1060,909,405,1520,2440,803,751,479,848,401,586,908,866,1740,414,1340
3,19,526,563,1130,980,416,1750,2300,828,759,475,976,404,575,939,815,1810,431,1010
3,20,513,442,1050,1010,418,2070,2010,724,786,478,939,399,584,1010,825,1880,398,1150
3,21,487,811,1010,1030,403,2040,1990,747,812,480,1020,421,571,1600,817,2390,424,1350
3,22,423,488,1000,932,387,2060,2090,687,774,552,1060,446,512,1660,833,2570,431,1340
3,23,411,474,982,873,388,2150,1330,745,792,583,1070,448,489,1700,827,2600,422,1330
3,24,444,465,1030,864,360,2410,2470,906,905,583,1070,472,455,1750,866,2730,417,1330
