Station,Drainage,State,County,Quad,Reach,RM_Start,Locality,UTM_Zone,UTM_Easting,UTM_Northing,Date Collected,year,month,Sampling_Period,Secchi_Depth,Salinity_Min,Temp_Min,Air_Temp_Min,DO_Min,Conductivity_True,Conductivity_Specific,pH_Min,Station+Haul,Haul,Depletion #,Habitat,Debris?,Gear,Electrofishing?,Closed?,Effort_m^2,NelsonNum,Family,Genus,Species,Species_Codes,"Length (SL,mm)",SumOfSPEC,SumOfREL,SumOfLarval,Stage,AgeClass,VIE Colors,VIE Locations,Projects
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-1,1,,MCRU,,regular,,,31.5,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,48,48,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-1,1,,MCRU,,regular,,,31.5,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-2,2,,MCRU,,regular,,,32.25,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,31,31,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-2,2,,MCRU,,regular,,,32.25,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,2,2,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-2,2,,MCRU,,regular,,,32.25,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,4,4,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-3,3,,MCRU,,regular,,,31.5,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,12,12,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-3,3,,MCRU,,regular,,,31.5,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-3,3,,MCRU,,regular,,,31.5,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,5,5,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-4,4,,MCRU,,regular,,,31.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,11,11,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-4,4,,MCRU,,regular,,,31.75,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,7,7,,,,,,1
