Date,URM,LRM,Distance,Year,month,dom
8/21/2019,80.92,79.15,1.77,2019,8,21
8/22/2019,80.92,79.15,1.77,2019,8,22
8/23/2019,80.92,79.15,1.77,2019,8,23
8/24/2019,80.92,79.15,1.77,2019,8,24
8/25/2019,80.92,79.15,1.77,2019,8,25
8/26/2019,80.98,79.15,1.83,2019,8,26
8/27/2019,81.1,79.15,1.95,2019,8,27
8/28/2019,81.45,79.15,2.3,2019,8,28
8/29/2019,81.46,79.15,2.31,2019,8,29
8/30/2019,81.46,79.15,2.31,2019,8,30
8/31/2019,81.46,79.15,2.31,2019,8,31
9/1/2019,81.46,79.15,2.31,2019,9,1
9/2/2019,85.2,79.15,6.05,2019,9,2
9/3/2019,86.1,79.15,6.95,2019,9,3
9/4/2019,86.55,79.15,7.4,2019,9,4
9/5/2019,86.8,79.15,7.65,2019,9,5
9/6/2019,88.8,74.5,14.3,2019,9,6
9/7/2019,89.29,74.35,14.94,2019,9,7
9/8/2019,89.85,74.35,15.5,2019,9,8
9/9/2019,89.63,73.85,15.78,2019,9,9
9/10/2019,89.75,73.85,15.9,2019,9,10
9/11/2019,89.87,73.85,16.02,2019,9,11
9/12/2019,89.61,73.85,15.76,2019,9,12
9/13/2019,91.2,73.85,17.35,2019,9,13
9/14/2019,88.61,73.84,14.77,2019,9,14
9/15/2019,87.62,73.85,13.77,2019,9,15
9/16/2019,77,73.85,3.15,2019,9,16
9/26/2019,81.65,81.5,0.15,2019,9,26
9/27/2019,81.85,76.2,5.65,2019,9,27
9/28/2019,82.78,76.17,6.61,2019,9,28
9/29/2019,82.66,73.88,8.78,2019,9,29
9/30/2019,82.46,73.88,8.58,2019,9,30
10/1/2019,82.42,73.88,8.54,2019,10,1
10/2/2019,82.25,73.88,8.37,2019,10,2
10/3/2019,82.73,73.89,8.84,2019,10,3
10/4/2019,84.25,73.89,10.36,2019,10,4
10/5/2019,77.36,73.89,3.47,2019,10,5
6/12/2020,154.13,152.79,1.34,2020,6,12
6/13/2020,155,152.51,2.49,2020,6,13
6/14/2020,155.25,152.48,2.77,2020,6,14
6/15/2020,155.77,151.17,4.6,2020,6,15
6/16/2020,156,152.17,3.83,2020,6,16
6/17/2020,156.1,152.1,4,2020,6,17
6/18/2020,156.1,152.45,3.65,2020,6,18
6/19/2020,157,151.3,5.7,2020,6,19
6/20/2020,157.21,151.64,5.57,2020,6,20
6/21/2020,157.26,152.4,4.86,2020,6,21
6/22/2020,157.27,152.42,4.85,2020,6,22
6/23/2020,157.28,152.15,5.13,2020,6,23
6/24/2020,157.52,152.1,5.42,2020,6,24
6/25/2020,158,152.1,5.9,2020,6,25
6/26/2020,158.4,152.1,6.3,2020,6,26
6/27/2020,158.2,151.77,6.43,2020,6,27
6/28/2020,158.35,151.62,6.73,2020,6,28
6/29/2020,158.35,151.6,6.75,2020,6,29
6/30/2020,158.45,151.62,6.83,2020,6,30
7/1/2020,158.54,152.45,6.09,2020,7,1
7/2/2020,158,151.59,6.41,2020,7,2
7/3/2020,158.36,151.9,6.46,2020,7,3
7/4/2020,158.57,152,6.57,2020,7,4
7/5/2020,158.6,152.4,6.2,2020,7,5
7/6/2020,158.1,151.72,6.38,2020,7,6
7/7/2020,158.47,151.62,6.85,2020,7,7
7/8/2020,158.29,152.45,5.84,2020,7,8
7/9/2020,158.73,152.1,6.63,2020,7,9
7/10/2020,158.98,151.4,7.58,2020,7,10
7/11/2020,159.96,151.39,8.57,2020,7,11
7/12/2020,158.96,151.29,7.67,2020,7,12
7/13/2020,159.06,151.37,7.69,2020,7,13
7/14/2020,157.79,151.26,6.53,2020,7,14
7/15/2020,159,151.29,7.71,2020,7,15
7/16/2020,158.94,151.4,7.54,2020,7,16
7/17/2020,159.07,151.28,7.79,2020,7,17
7/18/2020,159.07,151.38,7.69,2020,7,18
7/19/2020,158.77,151.4,7.37,2020,7,19
7/20/2020,159.1,151.29,7.81,2020,7,20
7/21/2020,159.1,151.28,7.82,2020,7,21
7/22/2020,159.07,151.29,7.78,2020,7,22
7/23/2020,158.83,151.41,7.42,2020,7,23
7/24/2020,158.23,151.6,6.63,2020,7,24
7/25/2020,157.79,152.38,5.41,2020,7,25
7/31/2020,156.96,152.51,4.45,2020,7,31
8/1/2020,157.5,152.3,5.2,2020,8,1
8/2/2020,158.3,152.48,5.82,2020,8,2
8/3/2020,158.28,152.3,5.98,2020,8,3
8/4/2020,158.44,152.35,6.09,2020,8,4
8/5/2020,159.1,151.6,7.5,2020,8,5
8/6/2020,159.01,151.59,7.42,2020,8,6
8/7/2020,159.5,151.6,7.9,2020,8,7
8/8/2020,159.06,151.5,7.56,2020,8,8
8/9/2020,159.8,151.44,8.36,2020,8,9
8/10/2020,159.08,151.38,7.7,2020,8,10
8/11/2020,159.67,151.4,8.27,2020,8,11
8/12/2020,159.7,151.5,8.2,2020,8,12
8/13/2020,159.59,151.22,8.37,2020,8,13
8/14/2020,159.64,151.24,8.4,2020,8,14
8/15/2020,159.58,151.21,8.37,2020,8,15
8/16/2020,159.1,151.2,7.9,2020,8,16
8/17/2020,159.1,151.21,7.89,2020,8,17
8/18/2020,159.56,151.24,8.32,2020,8,18
8/19/2020,159.45,151.21,8.24,2020,8,19
8/20/2020,159.41,151.21,8.2,2020,8,20
8/21/2020,159.36,151.21,8.15,2020,8,21
8/22/2020,159.44,151.21,8.23,2020,8,22
8/23/2020,159,151.21,7.79,2020,8,23
8/24/2020,158.98,151.21,7.77,2020,8,24
8/25/2020,159.32,151.24,8.08,2020,8,25
8/26/2020,158.59,151.21,7.38,2020,8,26
8/27/2020,158.95,151.24,7.71,2020,8,27
8/28/2020,158.95,151.2,7.75,2020,8,28
8/29/2020,159.32,151.25,8.07,2020,8,29
8/30/2020,158.89,151.21,7.68,2020,8,30
