Date,Month,Color,Location,Side,Number,Agency,Origin,Lot Number,Source of fish,Age,TL (mm),Release,Reach,Notes,Mark,C,L,S,Year,RM_up,RM_down,,River temp,Truck temp,Comments
1-Jan-02,1,yellow,left,predorsal,4600,MSB,Dexter,,,,,San Marcial,3,,YLD 2002,Y,L,D,2002,67.5,67.5,,,,
2-Jan-02,1,green,left,predorsal,7300,MSB,Dexter,,,,,Socorro,3,,GLD 2002,G,L,D,2002,101.6,101.6,,,,
2-Jun-02,6,orange,right,predorsal,2082,FRO,Abq,,,,,Alameda Bridge,1,,ORD 2002,O,R,D,2002,191.1,191.1,,,,
9-Dec-02,12,orange,left,predorsal,41500,FRO,Dexter,,,,,Corrales,1,,OLD 2002,O,L,D,2002,195,195,,,,
2-Jan-03,1,green,left,predorsal,61118,FRO,Dexter,,,,,Bernalillo,1,* plus 918 yankton fish,GLD 2003,G,L,D,2003,203.2,203.2,,,,
3-Apr-03,4,red,left,predorsal,22266,FRO,Dexter,,,,,Sandia Pueblo,1,,RLD 2003,R,L,D,2003,197.8,197.8,,,,
3-Jan-04,1,yellow,right,predorsal,48513,FRO,Dexter,,,,,Sandia Pueblo,1,"* 5,307 VIE marked, all were calcein marked (Dexter)",YRD 2004,Y,R,D,2004,197.8,197.8,,,,
4-Apr-04,4,red,right,predorsal,46545,FRO,Dexter,,"2003 Las Cruces, 2001 Dexter, 2003 BioPark wild caught",3-Jan,30,Sandia-float,1,"* 5,100 VIE marked, all were calcein marked (Dexter)",RRD 2004,R,R,D,2004,203,193,,,,
4-Apr-04,4,red,right,predorsal,10099,FRO,LC,,"2004 Las Cruces, 2001 Dexter, 2003 BioPark wild caught",3-Jan,31,Sandia-float,1,* all VIE and calcein (A mountain),RRD 2004,R,R,D,2004,203,193,,,,
4-Apr-04,4,green,right,predorsal,8500,FRO,Abq,CSSA03,Spawn progeny of 01 and 02 wild caught eggs and 01 and 02 adults from those eggs from SA 16 june 2003 ,1,,Sandia-float,1,(COA),GRD 2004,G,R,D,2004,203,193,,,,
15-Apr-04,4,orange,right,predorsal,1500,FRO,Abq,CSSA03,Spawn progeny of 01 and 02 wild caught eggs from SA 16 june 2003 ,1,,Bernalillo,1,all calcein(COA),ORD 2004,O,R,D,2004,203.2,203.2,,,,
20-Oct-04,10,yellow,left,predorsal,570,ABQ,Abq,WCSA02,,,,Central bridge,1,not part of protocol study,YLD 2004,Y,L,D,2004,182.8,182.8,,,,
3-Nov-04,11,yellow,right,anal,9622,FRO,Dexter,,,0,,Bernalillo-day,1,,YRA 2004,Y,R,A,2004,203.2,193.6,,,,
3-Nov-04,11,red,right,anal,8639,FRO,Dexter,,,,,Sandia-float-day,1,,RRA 2004,R,R,A,2004,204,193.6,,,,
3-Nov-04,11,yellow,left,anal,3021,FRO,Abq,ABP04-007,Wild caught as eggs in 2002,0,,Bernalillo-day,1,,YLA 2004,Y,L,A,2004,203.2,193.6,,,,
3-Nov-04,11,yellow,left,anal,2791,FRO,Abq,CSSA03,Captive spawn of CSSA01 and WCSA02 13 Aug 2003,1,,Bernalillo-day,1,,YLA 2004,Y,L,A,2004,203.2,193.6,,,,
3-Nov-04,11,yellow,left,anal,433,FRO,Abq,"CSSA03,WCSA03","Natural spawn of CSSA01 and WCSA02, wild caught at San Acacia 2003 16 June 2003",1,,Bernalillo-day,1,,YLA 2004,Y,L,A,2004,203.2,193.6,,,,
3-Nov-04,11,red,left,anal,2638,FRO,Abq,"CSSA03(natural),CSSA03(cpe),WCSA03",,1,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204,193.6,,,,
3-Nov-04,11,red,left,anal,715,FRO,Abq,"ABP04-006,010",Wild caught as eggs in 2003 or faster growing CSSA03,1,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204,193.6,,,,
3-Nov-04,11,red,left,anal,357,FRO,Abq,CSSA03,Captive spawn 13 Aug 2003 ,1,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204,193.6,,,,
3-Nov-04,11,red,left,anal,2792,FRO,Abq,"ABP04-011,012,WCSA01,WCSA02,CSSA03 (natural), WCSA03","ABP04-011,012 wild caught as eggs, adults in 2002",2,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204,193.6,,,,
5-Nov-04,11,orange,right,anal,7845,FRO,Dexter,,,,50,Bernalillo-night,1,,ORA 2004,O,R,A,2004,203.2,193.6,,,,
