Date,URM,LRM,Distance,Year,month,dom
10/14/2002,80.8,74,6.8,2002,10,14
10/14/2002,76.6,74,2.6,2002,10,14
10/20/2002,82.9,74,8.9,2002,10,20
10/3/2002,78.3,74,4.3,2002,10,3
10/3/2002,78.2,74,4.2,2002,10,3
10/3/2002,76.6,74,2.6,2002,10,3
10/8/2002,79.9,74,5.9,2002,10,8
10/9/2002,79.6,74,5.6,2002,10,9
10/9/2002,79,74,5,2002,10,9
6/10/2002,79.6,74,5.6,2002,6,10
6/13/2002,64.1,57.5,6.6,2002,6,13
6/20/2002,82.2,74,8.2,2002,6,20
6/20/2002,76.6,74,2.6,2002,6,20
6/20/2002,74.6,74,0.6,2002,6,20
6/21/2002,84.9,74,10.9,2002,6,21
6/25/2002,64.1,57.5,6.6,2002,6,25
6/26/2002,91.9,74,17.9,2002,6,26
6/27/2002,85.1,74,11.1,2002,6,27
6/28/2002,84.7,74,10.7,2002,6,28
6/29/2002,92.4,74,18.4,2002,6,29
6/30/2002,85.1,74,11.1,2002,6,30
6/6/2002,84.1,74,10.1,2002,6,6
7/10/2002,94.7,74,20.7,2002,7,10
7/10/2002,94,74,20,2002,7,10
7/11/2002,94,74,20,2002,7,11
7/12/2002,95.1,74,21.1,2002,7,12
7/15/2002,94,74,20,2002,7,15
7/16/2002,93.1,74,19.1,2002,7,16
7/18/2002,93.1,74,19.1,2002,7,18
7/19/2002,91.9,74,17.9,2002,7,19
7/2/2002,94,74,20,2002,7,2
7/3/2002,94.6,74,20.6,2002,7,3
7/4/2002,94,74,20,2002,7,4
7/5/2002,86.4,74,12.4,2002,7,5
7/6/2002,92.5,74,18.5,2002,7,6
7/8/2002,93.3,74,19.3,2002,7,8
7/9/2002,93.3,74,19.3,2002,7,9
8/18/2002,91,74,17,2002,8,18
8/20/2002,116.1,74,42.1,2002,8,20
8/25/2002,76.6,74,2.6,2002,8,25
9/11/2002,93.2,74,19.2,2002,9,11
9/30/2002,79.9,74,5.9,2002,9,30
10/2/2003,87.1,74,13.1,2003,10,2
10/29/2003,97.2,74,23.2,2003,10,29
10/30/2003,92.6,74,18.6,2003,10,30
8/11/2003,71.8,57.5,14.3,2003,8,11
8/12/2003,61.2,57.5,3.7,2003,8,12
8/16/2003,61.2,57.5,3.7,2003,8,16
8/5/2003,68.7,57.5,11.2,2003,8,5
8/5/2003,64,57.5,6.5,2003,8,5
9/20/2003,94,74,20,2003,9,20
9/21/2003,94,74,20,2003,9,21
9/6/2003,107.7,74,33.7,2003,9,6
10/1/2004,109.1,74,35.1,2004,10,1
10/2/2004,109.1,74,35.1,2004,10,2
10/3/2004,104.5,74,30.5,2004,10,3
10/4/2004,97.4,74,23.4,2004,10,4
10/5/2004,94.8,74,20.8,2004,10,5
10/6/2004,104.5,74,30.5,2004,10,6
6/16/2004,75.6,74,1.6,2004,6,16
6/17/2004,80,74,6,2004,6,17
6/19/2004,84.3,74,10.3,2004,6,19
6/21/2004,89.8,74,15.8,2004,6,21
6/22/2004,90,74,16,2004,6,22
6/23/2004,90,74,16,2004,6,23
6/24/2004,154.9,152.5,2.4,2004,6,24
6/24/2004,92.3,74,18.3,2004,6,24
6/26/2004,154.9,152.5,2.4,2004,6,26
6/26/2004,93.9,74,19.9,2004,6,26
6/27/2004,94.2,74,20.2,2004,6,27
6/28/2004,156.5,152.5,4,2004,6,28
6/28/2004,94.4,74,20.4,2004,6,28
6/29/2004,87.9,74,13.9,2004,6,29
7/1/2004,83.6,74,9.6,2004,7,1
7/10/2004,95.7,74,21.7,2004,7,10
7/11/2004,162.5,152.5,10,2004,7,11
7/12/2004,163.6,152.5,11.1,2004,7,12
7/13/2004,163.4,152.5,10.9,2004,7,13
7/14/2004,162.7,152.5,10.2,2004,7,14
7/15/2004,164,152.5,11.5,2004,7,15
7/16/2004,164.3,152.5,11.8,2004,7,16
7/17/2004,136.3,132,4.3,2004,7,17
7/17/2004,100.1,74,26.1,2004,7,17
7/18/2004,135.7,132,3.7,2004,7,18
7/18/2004,99,74,25,2004,7,18
7/19/2004,164.3,152.5,11.8,2004,7,19
7/20/2004,164.5,152.5,12,2004,7,20
7/20/2004,99.5,74,25.5,2004,7,20
7/21/2004,99.8,74,25.8,2004,7,21
7/22/2004,135.3,132,3.3,2004,7,22
7/22/2004,99.5,74,25.5,2004,7,22
7/23/2004,135.8,132,3.8,2004,7,23
7/31/2004,160.8,152.5,8.3,2004,7,31
7/5/2004,154.5,152.5,2,2004,7,5
7/6/2004,155.4,152.5,2.9,2004,7,6
7/7/2004,155.5,152.5,3,2004,7,7
7/8/2004,159.8,152.5,7.3,2004,7,8
8/10/2004,164.3,152.5,11.8,2004,8,10
8/10/2004,90.9,74,16.9,2004,8,10
8/11/2004,116.2,74,42.2,2004,8,11
8/12/2004,88.1,74,14.1,2004,8,12
8/13/2004,164.6,152.5,12.1,2004,8,13
8/13/2004,99.5,74,25.5,2004,8,13
8/14/2004,164.9,152.5,12.4,2004,8,14
8/14/2004,99,74,25,2004,8,14
8/15/2004,164.8,152.5,12.3,2004,8,15
8/15/2004,116.2,74,42.2,2004,8,15
8/16/2004,134.3,132,2.3,2004,8,16
8/16/2004,96.8,74,22.8,2004,8,16
8/2/2004,164,152.5,11.5,2004,8,2
8/22/2004,164.9,152.5,12.4,2004,8,22
8/23/2004,167.4,152.5,14.9,2004,8,23
8/24/2004,166.5,152.5,14,2004,8,24
8/25/2004,167.3,152.5,14.8,2004,8,25
8/27/2004,167.3,152.5,14.8,2004,8,27
8/28/2004,135.4,132,3.4,2004,8,28
8/29/2004,166.8,152.5,14.3,2004,8,29
8/3/2004,81.4,74,7.4,2004,8,3
8/4/2004,155.9,152.5,3.4,2004,8,4
8/5/2004,155.9,152.5,3.4,2004,8,5
8/6/2004,155.9,152.5,3.4,2004,8,6
8/7/2004,162.9,152.5,10.4,2004,8,7
8/8/2004,163.9,152.5,11.4,2004,8,8
8/8/2004,163.6,152.5,11.1,2004,8,8
8/9/2004,164.3,152.5,11.8,2004,8,9
8/9/2004,164,152.5,11.5,2004,8,9
9/1/2004,104.5,74,30.5,2004,9,1
9/10/2004,110.1,74,36.1,2004,9,10
9/11/2004,109.5,74,35.5,2004,9,11
9/12/2004,99.1,74,25.1,2004,9,12
9/12/2004,99.1,74,25.1,2004,9,12
9/13/2004,109.1,74,35.1,2004,9,13
9/14/2004,109.1,74,35.1,2004,9,14
9/15/2004,109.8,74,35.8,2004,9,15
9/16/2004,137,132,5,2004,9,16
9/16/2004,109.8,74,35.8,2004,9,16
9/17/2004,110,74,36,2004,9,17
9/18/2004,110,74,36,2004,9,18
