mont,day,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3,1,580,334,532,1380,523,739,1560,689,570,699,589,405,726,542,972,943,460
3,2,482,355,558,1370,474,757,1330,834,544,616,526,375,712,613,793,741,452
3,3,467,445,535,1260,414,796,1530,763,545,589,529,318,650,572,794,674,436
3,4,553,380,545,1450,388,840,1600,670,540,642,517,319,625,454,790,616,451
3,5,628,345,555,1190,425,857,1480,779,505,603,533,332,632,526,791,657,453
3,6,497,312,679,1040,432,826,1820,842,469,612,511,318,576,546,936,653,446
3,7,394,275,723,1020,419,761,1720,820,510,595,483,303,585,596,1140,626,413
3,8,445,232,580,1090,374,682,1610,833,530,585,468,287,677,527,992,621,351
3,9,389,233,546,905,342,605,1470,671,560,578,482,276,678,499,930,603,348
3,10,336,256,499,750,310,603,1330,716,640,572,487,289,622,515,815,604,371
3,11,446,277,482,705,312,651,1080,737,600,540,455,282,621,490,745,703,350
3,12,372,269,442,660,351,680,1240,875,603,470,487,305,554,462,870,706,333
3,13,292,206,459,653,345,642,1470,752,608,434,474,332,430,414,981,684,336
3,14,221,177,480,671,279,613,1620,650,601,441,437,344,413,445,976,625,308
3,15,233,187,518,787,217,658,1710,696,604,407,433,247,425,494,915,655,293
3,16,217,204,519,997,179,661,1830,793,598,378,449,243,466,498,829,705,239
3,17,204,196,495,1180,180,796,1940,570,524,292,480,230,522,509,707,884,233
3,18,251,187,610,1160,182,947,1900,547,561,249,560,231,407,467,675,1070,228
3,19,243,200,814,1010,180,1190,1950,540,577,240,591,259,357,554,610,1440,242
3,20,275,272,836,980,180,1300,1990,487,565,240,650,229,295,626,574,1570,314
3,21,232,692,882,1040,176,1490,1860,426,598,242,710,223,301,615,561,1620,276
3,22,217,589,813,974,171,1640,1830,378,617,256,717,222,312,827,539,1890,228
3,23,222,1300,801,983,171,1660,1850,377,597,245,717,210,341,1080,484,2280,153
3,24,198,525,666,895,174,1680,1650,351,584,269,699,206,315,943,571,2510,151
3,25,184,440,626,898,175,1880,1730,372,604,276,702,208,262,991,556,2640,187
3,26,184,320,635,943,176,1800,2110,546,658,283,674,206,248,958,592,2760,185
3,27,190,243,672,955,166,1660,2090,1000,686,365,687,201,209,1020,627,2900,147
3,28,175,235,752,987,160,1600,2230,1280,707,337,654,216,189,1050,635,2960,154
3,29,192,219,946,857,162,1520,2480,1310,708,259,764,209,194,1100,563,3100,142
3,30,181,245,1060,779,159,1520,2800,1300,661,212,867,195,175,1010,524,3250,139
3,31,154,365,1070,646,147,1440,2830,1280,581,186,1130,210,195,977,529,3090,140
4,1,168,322,1650,581,153,1420,2850,1230,588,186,1220,199,220,917,443,3190,139
4,2,181,238,1680,611,158,1440,3030,1270,664,162,1370,171,184,963,439,3390,133
4,3,153,199,1490,550,157,1430,3030,1180,782,149,1650,149,170,1170,420,3190,125
4,4,150,169,3160,540,156,1280,2740,938,795,148,2300,150,194,1280,469,3390,117
4,5,143,188,2740,494,148,1300,2590,1040,823,143,1830,153,206,1380,463,3470,106
4,6,151,196,2730,552,145,1090,2730,819,757,148,895,156,196,1280,422,3110,95.7
4,7,148,160,2750,484,143,1060,2760,634,885,153,964,156,202,1110,354,2910,88.3
4,8,166,150,3180,439,148,1110,2620,543,906,157,1250,149,178,931,305,2650,81.4
4,9,182,152,2590,500,150,1320,2580,504,802,144,1340,155,170,688,387,2280,78.2
4,10,222,144,2670,722,149,1300,2770,510,713,138,1050,159,171,628,310,2240,76.6
4,11,158,136,2480,1010,152,1390,3060,520,605,147,979,163,168,540,357,2280,77.4
4,12,182,144,2640,1110,161,1290,2840,483,631,166,888,165,172,491,368,2250,77.4
4,13,165,145,2590,950,166,1210,2700,634,659,176,838,168,182,431,350,2270,77.1
4,14,168,126,2420,1090,173,1520,2600,691,934,171,841,170,168,364,438,2200,77
4,15,180,113,1960,1330,179,1550,2570,750,1790,173,938,169,181,410,447,2130,77
4,16,155,105,1960,1740,178,1230,2390,915,2150,171,1050,169,189,378,378,2520,77.1
4,17,193,128,1930,2210,183,1090,2270,941,2440,162,898,169,198,351,374,2890,77.7
4,18,182,190,1640,3400,204,953,2230,1080,2560,164,747,166,190,377,394,3010,77.7
4,19,189,230,1530,2930,177,833,2350,1230,2650,154,668,163,193,356,350,3060,78.4
4,20,195,425,1350,3300,184,725,2660,1180,2230,153,647,162,208,387,346,3090,78.5
4,21,180,506,1230,3880,174,703,2800,1060,2130,144,661,162,215,360,462,3080,78.1
4,22,150,541,1330,3870,175,799,2700,882,2500,160,625,162,198,319,481,3080,78.1
4,23,169,454,1210,3950,176,835,2570,807,2750,166,531,162,231,323,536,3150,78.4
4,24,154,339,1090,4360,174,816,2610,741,2700,166,540,154,243,316,565,3210,78.5
4,25,150,378,862,4850,175,717,2770,867,2590,216,496,152,235,322,589,3220,73.3
4,26,155,413,710,4640,177,678,3150,1330,2720,334,499,145,213,309,575,3620,69
4,27,136,445,645,4530,176,672,3590,1790,2820,379,472,150,212,340,587,3860,60.6
4,28,152,310,456,4670,174,574,3860,2230,2410,354,476,161,255,357,677,4010,55.6
4,29,153,247,349,4510,174,541,3580,2360,2310,241,474,165,295,396,644,3980,56.7
4,30,156,237,311,4430,172,611,3500,2210,2370,241,681,165,301,361,623,3700,57.2
5,1,173,205,324,4440,176,609,3330,2200,2300,252,686,165,237,384,590,3750,57.6
5,2,164,286,368,4300,180,599,3250,2230,2270,264,689,164,266,347,597,3780,58.5
5,3,164,505,465,4290,172,822,3140,2680,2340,288,641,166,258,312,639,3540,57.9
5,4,201,749,493,4270,170,1180,3090,2980,2350,273,589,176,245,333,610,3100,57.8
5,5,187,587,471,3930,169,1680,3260,2900,2460,255,530,179,222,315,542,2730,57.7
5,6,191,359,725,3910,169,2060,3360,2960,2470,231,438,185,186,398,491,2530,58.3
5,7,210,336,1070,3740,171,2360,3430,2870,2300,211,397,190,175,461,478,2530,58.5
5,8,204,248,1170,3690,172,2170,3340,2850,2260,238,384,190,173,449,464,2590,58.3
5,9,195,174,1480,3680,172,2100,3240,2900,2310,232,368,193,208,665,506,2670,56.3
5,10,178,182,2160,3620,170,2200,3450,3290,2380,211,378,194,615,654,483,2770,57.9
5,11,169,178,2060,3620,169,2040,3560,3770,2310,194,389,193,756,652,457,3250,58.3
5,12,178,193,1910,3680,178,2020,3620,3610,2590,202,379,194,819,502,486,3580,59.1
