Tab,X,low,high,CI,mean
1,3/2/2020,0.001,0.002,95,0.0015
1,3/12/2020,0.001,0.002,90,0.0015
1,3/22/2020,0.05,0.3,80,0.175
1,4/1/2020,0.4,0.6,75,0.5
1,4/11/2020,0.5,0.8,75,0.65
1,4/21/2020,0.7,1.3,75,1
1,5/1/2020,1,1,NA,1
1,5/11/2020,0.7,1.7,75,1.2
1,5/21/2020,0.9,1.8,80,1.35
1,5/31/2020,1.1,1.9,80,1.5
1,6/10/2020,1.1,2,80,1.55
1,6/20/2020,0.5,0.8,80,0.65
1,6/30/2020,0.1,0.6,80,0.35
2,NA,700,1000,75,850
3a,5,0.01,0.1,70,0.055
3a,50,0.01,0.1,70,0.055
3a,100,0.01,0.1,70,0.055
3a,150,0.1,0.5,70,0.3
3a,200,0.1,0.5,70,0.3
3a,250,0.3,0.7,70,0.5
3a,500,1,1,NA,1
3a,1000,0.5,1.1,70,0.8
3a,1500,0.8,1.2,70,1
3a,2000,1.1,1.3,70,1.2
3a,2500,1.2,1.6,70,1.4
3a,3000,1.2,1.8,70,1.5
3a,4000,1.2,2.2,70,1.7
3a,5000,1.2,2.5,70,1.85
3a,6000,1.2,2,70,1.6
3a,7000,1.1,1.7,70,1.4
3b,5,0.07,0.11,60,0.09
3b,50,0.07,0.11,60,0.09
3b,100,0.07,0.11,60,0.09
3b,150,0.16,0.53,60,0.345
3b,200,0.16,0.53,60,0.345
3b,250,0.36,0.73,60,0.545
3b,500,1,1,NA,1
3b,1000,0.56,1.18,60,0.87
3b,1500,0.86,1.28,60,1.07
3b,2000,1.16,1.38,60,1.27
3b,2500,1.26,1.68,60,1.47
3b,3000,1.26,1.88,60,1.57
3b,4000,1.26,2.28,60,1.77
3b,5000,1.26,2.58,60,1.92
3b,6000,1.26,2.08,60,1.67
3b,7000,1.16,1.78,60,1.47
3c,5,0.02,0.11,70,0.065
3c,50,0.02,0.11,70,0.065
3c,100,0.02,0.11,70,0.065
3c,150,0.11,0.53,70,0.32
3c,200,0.11,0.53,70,0.32
3c,250,0.31,0.73,70,0.52
3c,500,1,1,NA,1
3c,1000,0.51,1.13,70,0.82
3c,1500,0.81,1.23,70,1.02
3c,2000,1.11,1.33,70,1.22
3c,2500,1.21,1.63,70,1.42
3c,3000,1.21,1.83,70,1.52
